Time,Sus Amount
0,0
1,205
2,251
3,268
4,297
5,346
6,400
7,443
8,465
9,493
10,528
11,554
12,573
13,614
14,653
15,673
16,703
17,731
19,758
20,788
21,828
22,845
23,876
24,900
25,930
26,963
27,992
28,1036
29,1066
30,1093
31,1117
32,1168
34,1222
35,1267
36,1307
37,1348
38,1390
39,1424
40,1459
41,1495
42,1532
43,1559
45,1621
46,1670
47,1703
48,1749
49,1790
50,1827
51,1872
52,1930
53,1974
54,2008
55,2045
56,2081
58,2089
59,2131
60,2158
61,2181
62,2228
63,2259
64,2271
65,2305
66,2339
68,2378
69,2379
70,2423
71,2459
72,2484
73,2514
74,2542
75,2565
76,2568
77,2603
78,2583
80,2607
81,2595
82,2561
83,2590
84,2607
85,2635
86,2654
88,2685
89,2706
90,2726
91,2723
93,2746
94,2770
95,2755
96,2777
97,2789
99,2808
100,2824
101,2829
102,2800
103,2823
105,2839
106,2814
107,2830
108,2792
110,2757
111,2745
112,2754
113,2768
115,2779
116,2782
118,2805
119,2810
121,2769
122,2777
123,2785
125,2806
127,2822
128,2834
130,2809
131,2823
132,2833
133,2760
134,2781
136,2798
137,2811
138,2821
139,2829
140,2836
141,2842
142,2812
143,2755
145,2759
146,2727
147,2730
148,2697
150,2676
152,2648
153,2652
154,2605
155,2554
156,2556
157,2470
158,2474
159,2475
160,2478
161,2436
162,2442
163,2447
164,2435
166,2404
167,2308
168,2214
169,2218
170,2186
171,2147
172,2151
173,2066
174,2067
175,2068
176,2071
177,2014
178,2015
179,2016
181,1904
182,1908
184,1912
186,1867
187,1869
189,1876
191,1861
192,1866
193,1788
194,1765
196,1770
197,1771
199,1772
200,1779
201,1729
202,1732
204,1736
206,1739
207,1739
208,1739
209,1741
210,1741
212,1743
213,1745
215,1747
216,1753
217,1757
218,1757
220,1673
221,1676
222,1634
223,1636
225,1638
226,1559
227,1559
228,1561
229,1561
230,1561
231,1562
232,1562
234,1567
236,1518
237,1458
238,1459
239,1459
241,1463
242,1466
243,1471
244,1431
245,1434
246,1437
247,1437
248,1438
249,1439
250,1442
251,1442
252,1442
253,1444
254,1444
255,1444
256,1445
257,1446
258,1446
260,1446
262,1448
263,1391
264,1395
265,1398
266,1398
267,1399
268,1400
269,1402
270,1403
271,1403
272,1404
273,1404
274,1406
275,1409
276,1410
277,1410
279,1411
280,1367
281,1369
282,1320
283,1321
284,1322
285,1286
286,1286
287,1286
288,1286
289,1287
290,1228
291,1229
292,1229
293,1229
295,1230
297,1232
298,1233
300,1233
302,1236
303,1238
304,1239
305,1239
306,1243
307,1243
308,1244
309,1245
310,1192
311,1194
312,1194
313,1194
314,1194
315,1194
317,1194
318,1195
320,1195
321,1195
322,1195
323,1195
324,1196
325,1196
326,1196
327,1196
328,1199
329,1200
330,1200
331,1201
332,1203
334,1205
335,1205
336,1207
337,1209
338,1209
340,1211
342,1213
343,1215
344,1169
346,1174
348,1177
349,1178
350,1179
351,1180
352,1180
